Date,Team,Opponent,Venue,Target
08/04/2023,Arsenal,Liverpool,away,W
08/04/2023,Aston Villa,Nott'ham Forest,home,W
08/04/2023,Bournemouth,Leicester City,away,W
08/04/2023,Brentford,Newcastle Utd,home,W
08/04/2023,Brighton and Hove Albion,Tottenham,away,W
08/04/2023,Chelsea,Wolves,away,W
08/04/2023,Crystal Palace,Leeds United,away,W
08/04/2023,Everton,Manchester Utd,away,W
08/04/2023,Fulham,West Ham,home,W
08/04/2023,Leeds United,Crystal Palace,home,W
08/04/2023,Leicester City,Bournemouth,home,W
08/04/2023,Liverpool,Arsenal,home,W
08/04/2023,Manchester City,Southampton,away,W
08/04/2023,Manchester United,Everton,home,W
08/04/2023,Newcastle United,Brentford,away,W
08/04/2023,Nottingham Forest,Aston Villa,away,W
08/04/2023,Southampton,Manchester City,home,W
08/04/2023,Tottenham Hotspur,Brighton,home,W
08/04/2023,West Ham United,Fulham,away,W
08/04/2023,Wolverhampton Wanderers,Chelsea,home,W
