Date,Team,Opponent,Venue,Target
16/04/2023,Arsenal,West Ham,away,W
15/04/2023,Aston Villa,Newcastle Utd,home,W
15/04/2023,Bournemouth,Tottenham,away,W
15/04/2023,Brentford,Wolves,away,W
15/04/2023,Brighton and Hove Albion,Chelsea,away,W
15/04/2023,Chelsea,Brighton,home,W
15/04/2023,Crystal Palace,Southampton,away,W
15/04/2023,Everton,Fulham,home,W
15/04/2023,Fulham,Everton,away,W
16/04/2023,Leeds United,Liverpool,home,W
15/04/2023,Leicester City,Manchester City,away,W
16/04/2023,Liverpool,Leeds United,away,W
15/04/2023,Manchester City,Leicester City,home,W
16/04/2023,Manchester United,Nott'ham Forest,away,W
15/04/2023,Newcastle United,Aston Villa,away,W
16/04/2023,Nottingham Forest,Manchester Utd,home,W
15/04/2023,Southampton,Crystal Palace,home,W
15/04/2023,Tottenham Hotspur,Bournemouth,home,W
16/04/2023,West Ham United,Arsenal,home,W
15/04/2023,Wolverhampton Wanderers,Brentford,home,W
