,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-02,17:30,Allsvenskan,Matchweek 1,Sat,Away,L,2,4,Häcken,50.0,6117.0,Seb Larsson,4-4-2,Andreas Ekberg,Match Report,,AIK-Stockholm-Stats
1,2022-04-10,17:30,Allsvenskan,Matchweek 2,Sun,Home,W,1,0,Norrköping,41.0,27561.0,Seb Larsson,4-4-2,Kristoffer Karlsson,Match Report,,AIK-Stockholm-Stats
2,2022-04-17,15:00,Allsvenskan,Matchweek 3,Sun,Away,L,0,3,Malmö,51.0,20122.0,Seb Larsson,4-2-3-1,Mohammed Al Hakim,Match Report,,AIK-Stockholm-Stats
3,2022-04-20,19:00,Allsvenskan,Matchweek 4,Wed,Home,W,1,0,Varberg,57.0,15112.0,Seb Larsson,4-4-2,Adam Ladebäck,Match Report,,AIK-Stockholm-Stats
4,2022-04-24,15:00,Allsvenskan,Matchweek 5,Sun,Home,W,1,0,Djurgården,45.0,41407.0,Seb Larsson,4-4-2,Glenn Nyberg,Match Report,,AIK-Stockholm-Stats
5,2022-05-01,17:30,Allsvenskan,Matchweek 6,Sun,Away,W,2,0,Sundsvall,57.0,5150.0,Seb Larsson,4-4-2,Andreas Ekberg,Match Report,,AIK-Stockholm-Stats
6,2022-05-07,15:00,Allsvenskan,Matchweek 7,Sat,Home,W,1,0,Göteborg,58.0,27175.0,Seb Larsson,4-4-2,Victor Wolf,Match Report,,AIK-Stockholm-Stats
7,2022-05-11,19:00,Allsvenskan,Matchweek 16,Wed,Home,W,2,0,Malmö,40.0,25153.0,Seb Larsson,4-4-2,Adam Ladebäck,Match Report,,AIK-Stockholm-Stats
8,2022-05-15,15:00,Allsvenskan,Matchweek 8,Sun,Away,D,3,3,Hammarby,22.0,28756.0,Seb Larsson,4-4-2,Kristoffer Karlsson,Match Report,,AIK-Stockholm-Stats
9,2022-05-21,15:00,Allsvenskan,Matchweek 9,Sat,Home,D,2,2,Sirius,53.0,25619.0,Seb Larsson,4-4-2,Mohammed Al Hakim,Match Report,,AIK-Stockholm-Stats
10,2022-05-29,17:30,Allsvenskan,Matchweek 10,Sun,Away,W,2,1,Helsingborg,60.0,8713.0,Seb Larsson,3-4-3,Kaspar Sjöberg,Match Report,,AIK-Stockholm-Stats
11,2022-06-26,15:00,Allsvenskan,Matchweek 11,Sun,Away,D,1,1,Degerfors,56.0,5880.0,Alexander Milošević,4-4-2,Kristoffer Karlsson,Match Report,,AIK-Stockholm-Stats
12,2022-07-02,15:00,Allsvenskan,Matchweek 12,Sat,Home,L,0,1,Mjällby,60.0,21202.0,Seb Larsson,4-3-3,Fredrik Klitte,Match Report,,AIK-Stockholm-Stats
13,2022-07-10,15:00,Allsvenskan,Matchweek 13,Sun,Away,D,2,2,Elfsborg,52.0,9859.0,Seb Larsson,4-4-2,Glenn Nyberg,Match Report,,AIK-Stockholm-Stats
14,2022-07-17,15:00,Allsvenskan,Matchweek 14,Sun,Home,W,1,0,Kalmar,41.0,24769.0,Seb Larsson,4-4-1-1,Adam Ladebäck,Match Report,,AIK-Stockholm-Stats
15,2022-07-21,20:00,Conf Lg,Second qualifying round,Thu,Away,L,2,3,ua Vorskla Poltava,,7911.0,Seb Larsson,4-3-3,Urs Schnyder,Match Report,Leg 1 of 2,AIK-Stockholm-Stats
16,2022-07-24,15:00,Allsvenskan,Matchweek 15,Sun,Away,W,3,2,Värnamo,37.0,5070.0,Seb Larsson,4-4-2,Joakim Östling,Match Report,,AIK-Stockholm-Stats
17,2022-07-27,19:00,Conf Lg,Second qualifying round,Wed,Home,W,2,0,ua Vorskla Poltava,,15759.0,Seb Larsson,4-4-2,Miloš Milanović,Match Report,Leg 2 of 2; AIK Stockholm won; Required Extra Time,AIK-Stockholm-Stats
18,2022-08-04,19:00,Conf Lg,Third qualifying round,Thu,Home,D,1,1,mk Shkëndija 79,,15692.0,Seb Larsson,3-5-2,Bram Van Driessche,Match Report,Leg 1 of 2,AIK-Stockholm-Stats
19,2022-08-07,15:00,Allsvenskan,Matchweek 17,Sun,Away,L,0,1,Kalmar,43.0,10024.0,Seb Larsson,3-5-2,Andreas Ekberg,Match Report,,AIK-Stockholm-Stats
20,2022-08-11,20:00,Conf Lg,Third qualifying round,Thu,Away,D,1 (3),1 (2),mk Shkëndija 79,,4304.0,Seb Larsson,3-5-2,Donald Robertson,Match Report,Leg 2 of 2; AIK Stockholm won; AIK Stockholm won on penalty kicks following extra time,AIK-Stockholm-Stats
21,2022-08-14,15:00,Allsvenskan,Matchweek 18,Sun,Home,D,2,2,Värnamo,60.0,19576.0,Seb Larsson,4-4-2,Kaspar Sjöberg,Match Report,,AIK-Stockholm-Stats
22,2022-08-18,19:00,Conf Lg,Play-off round,Thu,Away,L,0,3,cz Slovácko,,6032.0,Seb Larsson,3-5-2,Horațiu Fesnic,Match Report,Leg 1 of 2,AIK-Stockholm-Stats
23,2022-08-21,17:30,Allsvenskan,Matchweek 19,Sun,Away,W,4,2,Norrköping,43.0,12765.0,Nabil Bahoui,4-2-3-1,Kristoffer Karlsson,Match Report,,AIK-Stockholm-Stats
24,2022-08-25,19:00,Conf Lg,Play-off round,Thu,Home,L,0,1,cz Slovácko,,15799.0,Seb Larsson,4-2-3-1,Donatas Rumšas,Match Report,Leg 2 of 2; Slovácko won,AIK-Stockholm-Stats
25,2022-08-28,15:00,Allsvenskan,Matchweek 20,Sun,Home,D,2,2,Hammarby,48.0,45117.0,Seb Larsson,4-4-2,Andreas Ekberg,Match Report,,AIK-Stockholm-Stats
