,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-04,19:15,Allsvenskan,Matchweek 1,Mon,Away,L,1.0,3.0,Djurgården,45.0,20074.0,Johan Bertilsson,3-4-3,Bojan Pandzic,Match Report,,Degerfors-Stats
1,2022-04-09,17:30,Allsvenskan,Matchweek 2,Sat,Home,L,1.0,2.0,Häcken,43.0,802.0,Johan Bertilsson,3-4-3,Adam Ladebäck,Match Report,,Degerfors-Stats
2,2022-04-17,15:00,Allsvenskan,Matchweek 3,Sun,Away,L,0.0,2.0,Kalmar,47.0,5049.0,Johan Bertilsson,3-4-3,Fredrik Klitte,Match Report,,Degerfors-Stats
3,2022-04-21,19:00,Allsvenskan,Matchweek 4,Thu,Home,L,0.0,1.0,Hammarby,46.0,4833.0,Johan Bertilsson,4-2-3-1,Kristoffer Karlsson,Match Report,,Degerfors-Stats
4,2022-04-25,19:00,Allsvenskan,Matchweek 5,Mon,Away,L,0.0,2.0,Värnamo,63.0,2470.0,Johan Bertilsson,4-2-3-1,Mohammed Al Hakim,Match Report,,Degerfors-Stats
5,2022-05-01,15:00,Allsvenskan,Matchweek 6,Sun,Home,L,0.0,6.0,Elfsborg,41.0,3017.0,Johan Bertilsson,3-4-3,Adam Ladebäck,Match Report,,Degerfors-Stats
6,2022-05-09,19:00,Allsvenskan,Matchweek 7,Mon,Away,W,3.0,2.0,Sundsvall,40.0,2905.0,Johan Bertilsson,4-5-1,Granit Maqedonci,Match Report,,Degerfors-Stats
7,2022-05-15,17:30,Allsvenskan,Matchweek 8,Sun,Home,W,2.0,1.0,Helsingborg,40.0,2711.0,Sebastian Ohlsson,4-3-3,Joakim Östling,Match Report,,Degerfors-Stats
8,2022-05-22,15:00,Allsvenskan,Matchweek 9,Sun,Away,L,1.0,2.0,Varberg,63.0,1836.0,Sebastian Ohlsson,4-3-3,Andreas Ekberg,Match Report,,Degerfors-Stats
9,2022-05-29,15:00,Allsvenskan,Matchweek 10,Sun,Home,L,0.0,2.0,Malmö,43.0,2801.0,Sean Sabetkar,4-1-4-1,Victor Wolf,Match Report,,Degerfors-Stats
10,2022-06-26,15:00,Allsvenskan,Matchweek 11,Sun,Home,D,1.0,1.0,AIK Stockholm,44.0,5880.0,Sebastian Ohlsson,4-3-3,Kristoffer Karlsson,Match Report,,Degerfors-Stats
11,2022-07-04,19:00,Allsvenskan,Matchweek 12,Mon,Away,L,0.0,2.0,Göteborg,55.0,14109.0,Sebastian Ohlsson,4-3-3,Kaspar Sjöberg,Match Report,,Degerfors-Stats
12,2022-07-09,17:30,Allsvenskan,Matchweek 13,Sat,Home,D,1.0,1.0,Norrköping,62.0,3350.0,Johan Bertilsson,4-3-3,Bojan Pandzic,Match Report,,Degerfors-Stats
13,2022-07-17,15:00,Allsvenskan,Matchweek 14,Sun,Away,L,0.0,2.0,Sirius,33.0,4089.0,Johan Bertilsson,4-3-3,Fredrik Klitte,Match Report,,Degerfors-Stats
14,2022-07-23,17:30,Allsvenskan,Matchweek 15,Sat,Away,L,1.0,2.0,Mjällby,39.0,2851.0,Sebastian Ohlsson,3-4-3,Adam Ladebäck,Match Report,,Degerfors-Stats
15,2022-07-30,15:00,Allsvenskan,Matchweek 16,Sat,Home,W,2.0,1.0,Kalmar,26.0,4530.0,Sebastian Ohlsson,3-4-1-2,Glenn Nyberg,Match Report,,Degerfors-Stats
16,2022-08-06,15:00,Allsvenskan,Matchweek 17,Sat,Away,L,0.0,2.0,Norrköping,52.0,6329.0,Sebastian Ohlsson,3-4-3,Granit Maqedonci,Match Report,,Degerfors-Stats
17,2022-08-14,17:30,Allsvenskan,Matchweek 18,Sun,Home,D,1.0,1.0,Varberg,50.0,2570.0,Sebastian Ohlsson,3-4-3,Joakim Östling,Match Report,,Degerfors-Stats
18,2022-08-22,19:10,Allsvenskan,Matchweek 19,Mon,Away,L,1.0,5.0,Hammarby,41.0,25264.0,Gustaf Lagerbielke,4-3-3,Bojan Pandzic,Match Report,,Degerfors-Stats
19,2022-08-27,17:30,Allsvenskan,Matchweek 20,Sat,Home,W,3.0,1.0,Sundsvall,48.0,2113.0,Sebastian Ohlsson,4-2-3-1,Fredrik Klitte,Match Report,,Degerfors-Stats
20,2022-09-04,15:00,Allsvenskan,Matchweek 21,Sun,Away,D,2.0,2.0,Häcken,36.0,4186.0,Sebastian Ohlsson,3-4-3,Kaspar Sjöberg,Match Report,,Degerfors-Stats
21,2022-09-10,17:30,Allsvenskan,Matchweek 22,Sat,Home,D,0.0,0.0,Mjällby,43.0,2821.0,Sean Sabetkar,3-5-2,Adam Ladebäck,Match Report,,Degerfors-Stats
22,2022-09-18,17:30,Allsvenskan,Matchweek 23,Sun,Away,D,1.0,1.0,AIK Stockholm,37.0,18217.0,Sebastian Ohlsson,3-4-3,Fredrik Klitte,Match Report,,Degerfors-Stats
23,2022-10-01,17:30,Allsvenskan,Matchweek 24,Sat,Home,,,,Djurgården,,,,,,Head-to-Head,,Degerfors-Stats
24,2022-10-08,15:00,Allsvenskan,Matchweek 25,Sat,Home,,,,Sirius,,,,,,Head-to-Head,,Degerfors-Stats
25,2022-10-14,19:00,Allsvenskan,Matchweek 26,Fri,Away,,,,Elfsborg,,,,,,Head-to-Head,,Degerfors-Stats
26,2022-10-20,19:00,Allsvenskan,Matchweek 27,Thu,Home,,,,Göteborg,,,,,,Head-to-Head,,Degerfors-Stats
27,2022-10-23,15:00,Allsvenskan,Matchweek 28,Sun,Away,,,,Helsingborg,,,,,,Head-to-Head,,Degerfors-Stats
28,2022-10-30,15:00,Allsvenskan,Matchweek 29,Sun,Home,,,,Värnamo,,,,,,Head-to-Head,,Degerfors-Stats
29,2022-11-06,15:00,Allsvenskan,Matchweek 30,Sun,Away,,,,Malmö,,,,,,Head-to-Head,,Degerfors-Stats
