,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-04,19:15,Allsvenskan,Matchweek 1,Mon,Home,W,3.0,1.0,Degerfors,55.0,20074.0,Magnus Eriksson,4-3-3,Bojan Pandzic,Match Report,,Djurgarden-Stats
1,2022-04-10,17:30,Allsvenskan,Matchweek 2,Sun,Away,L,0.0,1.0,Mjällby,63.0,3504.0,Magnus Eriksson,4-3-3,Andreas Ekberg,Match Report,,Djurgarden-Stats
2,2022-04-16,15:00,Allsvenskan,Matchweek 3,Sat,Home,W,2.0,1.0,Norrköping,53.0,15263.0,Magnus Eriksson,4-3-3,Kaspar Sjöberg,Match Report,,Djurgarden-Stats
3,2022-04-20,19:00,Allsvenskan,Matchweek 4,Wed,Away,D,1.0,1.0,Göteborg,56.0,16170.0,Magnus Eriksson,4-3-3,Fredrik Klitte,Match Report,,Djurgarden-Stats
4,2022-04-24,15:00,Allsvenskan,Matchweek 5,Sun,Away,L,0.0,1.0,AIK Stockholm,55.0,41407.0,Magnus Eriksson,4-2-3-1,Glenn Nyberg,Match Report,,Djurgarden-Stats
5,2022-04-30,15:00,Allsvenskan,Matchweek 6,Sat,Home,W,4.0,0.0,Sirius,43.0,15779.0,Magnus Eriksson,4-3-3,Victor Wolf,Match Report,,Djurgarden-Stats
6,2022-05-05,19:00,Allsvenskan,Matchweek 16,Thu,Home,D,2.0,2.0,Helsingborg,68.0,14245.0,Magnus Eriksson,4-3-3,Adam Ladebäck,Match Report,,Djurgarden-Stats
7,2022-05-09,19:10,Allsvenskan,Matchweek 7,Mon,Away,D,0.0,0.0,Elfsborg,52.0,7862.0,Magnus Eriksson,4-3-3,Andreas Ekberg,Match Report,,Djurgarden-Stats
8,2022-05-16,19:10,Allsvenskan,Matchweek 8,Mon,Home,W,4.0,0.0,Malmö,51.0,20550.0,Magnus Eriksson,4-3-3,Mohammed Al Hakim,Match Report,,Djurgarden-Stats
9,2022-05-22,17:30,Allsvenskan,Matchweek 9,Sun,Away,L,0.0,1.0,Kalmar,37.0,7518.0,Magnus Eriksson,4-3-3,Adam Ladebäck,Match Report,,Djurgarden-Stats
10,2022-05-29,15:00,Allsvenskan,Matchweek 10,Sun,Home,W,4.0,0.0,Varberg,74.0,15648.0,Magnus Eriksson,4-3-3,Glenn Nyberg,Match Report,,Djurgarden-Stats
11,2022-06-26,17:30,Allsvenskan,Matchweek 11,Sun,Away,W,5.0,2.0,Sundsvall,64.0,5352.0,Magnus Eriksson,4-3-3,Bojan Pandzic,Match Report,,Djurgarden-Stats
