,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-04,19:00,Allsvenskan,Matchweek 1,Mon,Home,L,0.0,2.0,Mjällby,61.0,4380.0,Johan Larsson,4-3-3,Kaspar Sjöberg,Match Report,,Elfsborg-Stats
1,2022-04-11,19:10,Allsvenskan,Matchweek 2,Mon,Away,D,1.0,1.0,Malmö,34.0,19405.0,Johan Larsson,4-3-3,Fredrik Klitte,Match Report,,Elfsborg-Stats
2,2022-04-17,17:30,Allsvenskan,Matchweek 3,Sun,Home,W,4.0,1.0,Värnamo,49.0,5465.0,Johan Larsson,4-2-3-1,Adam Ladebäck,Match Report,,Elfsborg-Stats
3,2022-04-21,19:00,Allsvenskan,Matchweek 4,Thu,Away,L,0.0,1.0,Helsingborg,54.0,5137.0,Johan Larsson,4-3-3,Andreas Ekberg,Match Report,,Elfsborg-Stats
4,2022-04-25,19:00,Allsvenskan,Matchweek 5,Mon,Home,W,3.0,1.0,Sundsvall,57.0,4190.0,Johan Larsson,4-3-3,Joakim Östling,Match Report,,Elfsborg-Stats
5,2022-05-01,15:00,Allsvenskan,Matchweek 6,Sun,Away,W,6.0,0.0,Degerfors,59.0,3017.0,André Rømer,4-2-3-1,Adam Ladebäck,Match Report,,Elfsborg-Stats
6,2022-05-09,19:10,Allsvenskan,Matchweek 7,Mon,Home,D,0.0,0.0,Djurgården,48.0,7862.0,Johan Larsson,4-2-3-1,Andreas Ekberg,Match Report,,Elfsborg-Stats
7,2022-05-14,17:30,Allsvenskan,Matchweek 8,Sat,Away,L,0.0,2.0,Sirius,52.0,5389.0,Johan Larsson,4-2-3-1,Fredrik Klitte,Match Report,,Elfsborg-Stats
8,2022-05-22,15:00,Allsvenskan,Matchweek 9,Sun,Home,W,3.0,1.0,Göteborg,44.0,13126.0,Johan Larsson,4-2-3-1,Glenn Nyberg,Match Report,,Elfsborg-Stats
9,2022-05-29,15:00,Allsvenskan,Matchweek 10,Sun,Away,D,2.0,2.0,Norrköping,46.0,9377.0,Johan Larsson,4-3-3,Fredrik Klitte,Match Report,,Elfsborg-Stats
10,2022-06-27,19:00,Allsvenskan,Matchweek 11,Mon,Home,W,4.0,1.0,Varberg,64.0,6721.0,Johan Larsson,4-3-3,Mohammed Al Hakim,Match Report,,Elfsborg-Stats
11,2022-07-03,17:30,Allsvenskan,Matchweek 12,Sun,Away,D,1.0,1.0,Häcken,41.0,5476.0,Johan Larsson,4-2-3-1,Glenn Nyberg,Match Report,,Elfsborg-Stats
12,2022-07-10,15:00,Allsvenskan,Matchweek 13,Sun,Home,D,2.0,2.0,AIK Stockholm,48.0,9859.0,Johan Larsson,4-3-3,Glenn Nyberg,Match Report,,Elfsborg-Stats
13,2022-07-17,15:00,Allsvenskan,Matchweek 14,Sun,Away,L,0.0,3.0,Hammarby,40.0,24612.0,Johan Larsson,4-3-3,Victor Wolf,Match Report,,Elfsborg-Stats
14,2022-07-21,18:00,Conf Lg,Second qualifying round,Thu,Away,L,1.0,4.0,no Molde,,4771.0,Johan Larsson,,Mads-Kristoffer Kristoffersen,Match Report,Leg 1 of 2,Elfsborg-Stats
15,2022-07-24,17:30,Allsvenskan,Matchweek 15,Sun,Away,L,0.0,1.0,Kalmar,43.0,7039.0,Per Frick,4-2-3-1,Fredrik Klitte,Match Report,,Elfsborg-Stats
16,2022-07-28,18:45,Conf Lg,Second qualifying round,Thu,Home,L,1.0,2.0,no Molde,,3441.0,Johan Larsson,4-3-3,Peter Bankes,Match Report,Leg 2 of 2; Molde won,Elfsborg-Stats
17,2022-07-31,15:00,Allsvenskan,Matchweek 16,Sun,Home,D,4.0,4.0,Häcken,41.0,5741.0,Johan Larsson,4-3-3,Mohammed Al Hakim,Match Report,,Elfsborg-Stats
