,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-03,15:00,Allsvenskan,Matchweek 1,Sun,Home,W,2.0,1.0,Värnamo,44.0,16794.0,Marcus Berg,4-4-2,Kristoffer Karlsson,Match Report,,Goteborg-Stats
1,2022-04-10,15:00,Allsvenskan,Matchweek 2,Sun,Away,W,1.0,0.0,Helsingborg,42.0,11407.0,Marcus Berg,4-4-2,Victor Wolf,Match Report,,Goteborg-Stats
2,2022-04-17,17:30,Allsvenskan,Matchweek 3,Sun,Away,W,2.0,0.0,Häcken,33.0,6278.0,Marcus Berg,4-4-2,Glenn Nyberg,Match Report,,Goteborg-Stats
3,2022-04-20,19:00,Allsvenskan,Matchweek 4,Wed,Home,D,1.0,1.0,Djurgården,44.0,16170.0,Marcus Berg,4-4-2,Fredrik Klitte,Match Report,,Goteborg-Stats
4,2022-04-25,19:10,Allsvenskan,Matchweek 5,Mon,Away,L,0.0,1.0,Malmö,33.0,19785.0,Marcus Berg,4-4-2,Andreas Ekberg,Match Report,,Goteborg-Stats
5,2022-05-02,19:00,Allsvenskan,Matchweek 6,Mon,Home,L,1.0,2.0,Kalmar,41.0,14147.0,Marcus Berg,4-4-2,Mohammed Al Hakim,Match Report,,Goteborg-Stats
6,2022-05-07,15:00,Allsvenskan,Matchweek 7,Sat,Away,L,0.0,1.0,AIK Stockholm,42.0,27175.0,Marcus Berg,4-4-2,Victor Wolf,Match Report,,Goteborg-Stats
7,2022-05-15,17:30,Allsvenskan,Matchweek 8,Sun,Home,D,1.0,1.0,Varberg,55.0,13306.0,Marcus Berg,4-2-3-1,Bojan Pandzic,Match Report,,Goteborg-Stats
8,2022-05-22,15:00,Allsvenskan,Matchweek 9,Sun,Away,L,1.0,3.0,Elfsborg,56.0,13126.0,Marcus Berg,4-4-2,Glenn Nyberg,Match Report,,Goteborg-Stats
9,2022-05-28,15:00,Allsvenskan,Matchweek 10,Sat,Home,W,2.0,0.0,Sundsvall,70.0,12068.0,Marcus Berg,4-4-2◆,Mohammed Al Hakim,Match Report,,Goteborg-Stats
10,2022-06-27,19:00,Allsvenskan,Matchweek 11,Mon,Away,W,2.0,1.0,Sirius,33.0,6194.0,Oscar Wendt,4-3-3,Andreas Ekberg,Match Report,,Goteborg-Stats
11,2022-07-04,19:00,Allsvenskan,Matchweek 12,Mon,Home,W,2.0,0.0,Degerfors,45.0,14109.0,Marcus Berg,4-4-2,Kaspar Sjöberg,Match Report,,Goteborg-Stats
12,2022-07-11,19:00,Allsvenskan,Matchweek 13,Mon,Away,L,0.0,3.0,Hammarby,36.0,28837.0,Marcus Berg,4-4-2,Andreas Ekberg,Match Report,,Goteborg-Stats
13,2022-07-17,15:00,Allsvenskan,Matchweek 14,Sun,Home,D,1.0,1.0,Mjällby,41.0,14989.0,Oscar Wendt,4-4-1-1,Joakim Östling,Match Report,,Goteborg-Stats
14,2022-07-25,19:00,Allsvenskan,Matchweek 15,Mon,Away,W,2.0,0.0,Norrköping,44.0,9544.0,Marcus Berg,4-1-4-1,Kaspar Sjöberg,Match Report,,Goteborg-Stats
15,2022-08-01,19:00,Allsvenskan,Matchweek 16,Mon,Home,W,2.0,0.0,Norrköping,55.0,15085.0,Marcus Berg,4-3-3,Victor Wolf,Match Report,,Goteborg-Stats
16,2022-08-08,19:00,Allsvenskan,Matchweek 17,Mon,Away,W,4.0,0.0,Varberg,62.0,4450.0,Marcus Berg,4-3-3,Adam Ladebäck,Match Report,,Goteborg-Stats
17,2022-08-15,19:10,Allsvenskan,Matchweek 18,Mon,Home,L,0.0,1.0,Hammarby,41.0,17351.0,Marcus Berg,4-3-3,Mohammed Al Hakim,Match Report,,Goteborg-Stats
18,2022-08-22,19:00,Allsvenskan,Matchweek 19,Mon,Away,L,0.0,1.0,Kalmar,50.0,8260.0,Marcus Berg,4-3-3,Glenn Nyberg,Match Report,,Goteborg-Stats
19,2022-08-28,15:00,Allsvenskan,Matchweek 20,Sun,Home,W,2.0,0.0,Sirius,45.0,12587.0,Marcus Berg,4-4-1-1,Joakim Östling,Match Report,,Goteborg-Stats
20,2022-09-05,19:00,Allsvenskan,Matchweek 21,Mon,Away,W,4.0,1.0,Mjällby,39.0,3611.0,Marcus Berg,4-3-3,Mohammed Al Hakim,Match Report,,Goteborg-Stats
21,2022-09-12,19:10,Allsvenskan,Matchweek 22,Mon,Home,L,1.0,3.0,Helsingborg,61.0,12581.0,Marcus Berg,4-3-3,Andreas Ekberg,Match Report,,Goteborg-Stats
22,2022-09-18,17:30,Allsvenskan,Matchweek 23,Sun,Away,L,0.0,3.0,Djurgården,48.0,21735.0,Gustav Svensson,4-3-3,Joakim Östling,Match Report,,Goteborg-Stats
23,2022-10-03,19:10,Allsvenskan,Matchweek 24,Mon,Home,,,,Elfsborg,,,,,,Head-to-Head,,Goteborg-Stats
24,2022-10-09,15:00,Allsvenskan,Matchweek 25,Sun,Away,,,,Sundsvall,,,,,,Head-to-Head,,Goteborg-Stats
25,2022-10-17,19:10,Allsvenskan,Matchweek 26,Mon,Home,,,,Malmö,,,,,,Head-to-Head,,Goteborg-Stats
26,2022-10-20,19:00,Allsvenskan,Matchweek 27,Thu,Away,,,,Degerfors,,,,,,Head-to-Head,,Goteborg-Stats
27,2022-10-24,19:10,Allsvenskan,Matchweek 28,Mon,Home,,,,AIK Stockholm,,,,,,Head-to-Head,,Goteborg-Stats
28,2022-10-30,15:00,Allsvenskan,Matchweek 29,Sun,Home,,,,Häcken,,,,,,Head-to-Head,,Goteborg-Stats
29,2022-11-06,15:00,Allsvenskan,Matchweek 30,Sun,Away,,,,Värnamo,,,,,,Head-to-Head,,Goteborg-Stats
