,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-02,15:00,Allsvenskan,Matchweek 1,Sat,Home,W,2.0,1.0,Helsingborg,57.0,30216.0,Richard Magyar,4-3-3,Adam Ladebäck,Match Report,,Hammarby-Stats
1,2022-04-09,15:00,Allsvenskan,Matchweek 2,Sat,Away,W,5.0,1.0,Sundsvall,54.0,6175.0,Richard Magyar,4-3-3,Mohammed Al Hakim,Match Report,,Hammarby-Stats
2,2022-04-15,15:00,Allsvenskan,Matchweek 3,Fri,Home,W,2.0,0.0,Mjällby,62.0,24764.0,Richard Magyar,4-3-3,Joakim Östling,Match Report,,Hammarby-Stats
3,2022-04-21,19:00,Allsvenskan,Matchweek 4,Thu,Away,W,1.0,0.0,Degerfors,54.0,4833.0,Gustav Ludwigson,4-3-3,Kristoffer Karlsson,Match Report,,Hammarby-Stats
4,2022-04-25,19:00,Allsvenskan,Matchweek 5,Mon,Away,W,3.0,0.0,Sirius,58.0,10038.0,Darijan Bojanić,4-3-3,Adam Ladebäck,Match Report,,Hammarby-Stats
5,2022-05-02,19:10,Allsvenskan,Matchweek 6,Mon,Home,D,0.0,0.0,Malmö,54.0,29696.0,Richard Magyar,4-3-3,Glenn Nyberg,Match Report,,Hammarby-Stats
6,2022-05-08,17:30,Allsvenskan,Matchweek 7,Sun,Away,L,0.0,2.0,Kalmar,59.0,8768.0,Richard Magyar,3-4-3,Fredrik Klitte,Match Report,,Hammarby-Stats
7,2022-05-15,15:00,Allsvenskan,Matchweek 8,Sun,Home,D,3.0,3.0,AIK Stockholm,78.0,28756.0,Richard Magyar,4-3-3,Kristoffer Karlsson,Match Report,,Hammarby-Stats
8,2022-05-22,15:00,Allsvenskan,Matchweek 9,Sun,Home,W,3.0,0.0,Norrköping,60.0,26137.0,Darijan Bojanić,4-3-3,Kaspar Sjöberg,Match Report,,Hammarby-Stats
9,2022-05-29,17:30,Allsvenskan,Matchweek 10,Sun,Away,L,0.0,1.0,Värnamo,65.0,5010.0,Richard Magyar,4-3-3,Joakim Östling,Match Report,,Hammarby-Stats
10,2022-06-26,15:00,Allsvenskan,Matchweek 11,Sun,Home,D,2.0,2.0,Häcken,57.0,22681.0,Darijan Bojanić,4-2-3-1,Fredrik Klitte,Match Report,,Hammarby-Stats
11,2022-07-03,15:00,Allsvenskan,Matchweek 12,Sun,Away,L,0.0,1.0,Djurgården,69.0,27203.0,Darijan Bojanić,4-4-2,Mohammed Al Hakim,Match Report,,Hammarby-Stats
12,2022-07-11,19:00,Allsvenskan,Matchweek 13,Mon,Home,W,3.0,0.0,Göteborg,64.0,28837.0,Darijan Bojanić,4-3-3,Andreas Ekberg,Match Report,,Hammarby-Stats
13,2022-07-17,15:00,Allsvenskan,Matchweek 14,Sun,Home,W,3.0,0.0,Elfsborg,60.0,24612.0,Darijan Bojanić,4-3-3,Victor Wolf,Match Report,,Hammarby-Stats
14,2022-07-25,19:00,Allsvenskan,Matchweek 15,Mon,Away,W,3.0,0.0,Varberg,59.0,4320.0,Darijan Bojanić,4-3-3,Mohammed Al Hakim,Match Report,,Hammarby-Stats
15,2022-07-31,15:00,Allsvenskan,Matchweek 16,Sun,Home,L,1.0,2.0,Värnamo,65.0,22689.0,Darijan Bojanić,4-3-3,Kristoffer Karlsson,Match Report,,Hammarby-Stats
16,2022-08-07,15:00,Allsvenskan,Matchweek 17,Sun,Home,W,3.0,0.0,Sundsvall,67.0,21526.0,Darijan Bojanić,4-3-3,Glenn Nyberg,Match Report,,Hammarby-Stats
17,2022-08-15,19:10,Allsvenskan,Matchweek 18,Mon,Away,W,1.0,0.0,Göteborg,59.0,17351.0,Darijan Bojanić,4-3-3,Mohammed Al Hakim,Match Report,,Hammarby-Stats
18,2022-08-22,19:10,Allsvenskan,Matchweek 19,Mon,Home,W,5.0,1.0,Degerfors,59.0,25264.0,Darijan Bojanić,4-3-3,Bojan Pandzic,Match Report,,Hammarby-Stats
19,2022-08-28,15:00,Allsvenskan,Matchweek 20,Sun,Away,D,2.0,2.0,AIK Stockholm,52.0,45117.0,Darijan Bojanić,4-3-3,Andreas Ekberg,Match Report,,Hammarby-Stats
20,2022-09-05,19:10,Allsvenskan,Matchweek 21,Mon,Away,L,1.0,4.0,Norrköping,61.0,13078.0,Darijan Bojanić,4-3-3,Joakim Östling,Match Report,,Hammarby-Stats
21,2022-09-11,15:00,Allsvenskan,Matchweek 22,Sun,Home,D,0.0,0.0,Djurgården,54.0,27987.0,Darijan Bojanić,4-3-3,Mohammed Al Hakim,Match Report,,Hammarby-Stats
22,2022-09-17,15:00,Allsvenskan,Matchweek 23,Sat,Away,D,1.0,1.0,Häcken,48.0,6316.0,Darijan Bojanić,4-3-3,Victor Wolf,Match Report,,Hammarby-Stats
23,2022-10-01,15:00,Allsvenskan,Matchweek 24,Sat,Away,,,,Malmö,,,,,,Head-to-Head,,Hammarby-Stats
24,2022-10-10,19:10,Allsvenskan,Matchweek 25,Mon,Home,,,,Varberg,,,,,,Head-to-Head,,Hammarby-Stats
25,2022-10-16,17:30,Allsvenskan,Matchweek 26,Sun,Away,,,,Mjällby,,,,,,Head-to-Head,,Hammarby-Stats
26,2022-10-20,19:00,Allsvenskan,Matchweek 27,Thu,Home,,,,Sirius,,,,,,Head-to-Head,,Hammarby-Stats
27,2022-10-23,15:00,Allsvenskan,Matchweek 28,Sun,Away,,,,Elfsborg,,,,,,Head-to-Head,,Hammarby-Stats
28,2022-10-30,17:30,Allsvenskan,Matchweek 29,Sun,Home,,,,Kalmar,,,,,,Head-to-Head,,Hammarby-Stats
29,2022-11-06,15:00,Allsvenskan,Matchweek 30,Sun,Away,,,,Helsingborg,,,,,,Head-to-Head,,Hammarby-Stats
