,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-04,19:00,Allsvenskan,Matchweek 1,Mon,Away,W,2.0,0.0,Elfsborg,39.0,4380.0,David Löfquist,3-5-2,Kaspar Sjöberg,Match Report,,Mjallby-Stats
1,2022-04-10,17:30,Allsvenskan,Matchweek 2,Sun,Home,W,1.0,0.0,Djurgården,37.0,3504.0,David Löfquist,3-5-2,Andreas Ekberg,Match Report,,Mjallby-Stats
2,2022-04-15,15:00,Allsvenskan,Matchweek 3,Fri,Away,L,0.0,2.0,Hammarby,38.0,24764.0,David Löfquist,3-5-2,Joakim Östling,Match Report,,Mjallby-Stats
3,2022-04-20,19:00,Allsvenskan,Matchweek 4,Wed,Home,W,3.0,0.0,Sirius,47.0,1729.0,David Löfquist,3-5-2,Glenn Nyberg,Match Report,,Mjallby-Stats
4,2022-04-24,15:00,Allsvenskan,Matchweek 5,Sun,Away,D,0.0,0.0,Varberg,47.0,1718.0,Jesper Gustavsson,3-5-2,Kristoffer Karlsson,Match Report,,Mjallby-Stats
5,2022-05-01,15:00,Allsvenskan,Matchweek 6,Sun,Home,W,2.0,1.0,Helsingborg,44.0,3604.0,David Löfquist,3-5-2,Granit Maqedonci,Match Report,,Mjallby-Stats
6,2022-05-07,17:30,Allsvenskan,Matchweek 7,Sat,Away,L,0.0,2.0,Malmö,40.0,19812.0,Jesper Gustavsson,3-5-2,Bojan Pandzic,Match Report,,Mjallby-Stats
7,2022-05-14,15:00,Allsvenskan,Matchweek 8,Sat,Home,D,1.0,1.0,Värnamo,54.0,2812.0,Jesper Gustavsson,3-5-2,Kaspar Sjöberg,Match Report,,Mjallby-Stats
8,2022-05-23,19:00,Allsvenskan,Matchweek 9,Mon,Away,L,0.0,2.0,Sundsvall,55.0,3287.0,David Löfquist,3-5-2,Kristoffer Karlsson,Match Report,,Mjallby-Stats
9,2022-05-28,15:00,Allsvenskan,Matchweek 10,Sat,Home,D,1.0,1.0,Kalmar,30.0,3572.0,Jesper Gustavsson,3-5-2,Bojan Pandzic,Match Report,,Mjallby-Stats
10,2022-06-26,15:00,Allsvenskan,Matchweek 11,Sun,Home,D,1.0,1.0,Norrköping,47.0,2639.0,David Löfquist,3-5-2,Granit Maqedonci,Match Report,,Mjallby-Stats
11,2022-07-02,15:00,Allsvenskan,Matchweek 12,Sat,Away,W,1.0,0.0,AIK Stockholm,40.0,21202.0,David Löfquist,3-5-2,Fredrik Klitte,Match Report,,Mjallby-Stats
12,2022-07-10,15:00,Allsvenskan,Matchweek 13,Sun,Home,L,1.0,2.0,Häcken,57.0,4314.0,Jesper Gustavsson,3-5-2,Adam Ladebäck,Match Report,,Mjallby-Stats
13,2022-07-17,15:00,Allsvenskan,Matchweek 14,Sun,Away,D,1.0,1.0,Göteborg,59.0,14989.0,Jesper Gustavsson,3-5-2,Joakim Östling,Match Report,,Mjallby-Stats
14,2022-07-23,17:30,Allsvenskan,Matchweek 15,Sat,Home,W,2.0,1.0,Degerfors,61.0,2851.0,Jesper Gustavsson,3-5-2,Adam Ladebäck,Match Report,,Mjallby-Stats
15,2022-07-31,15:00,Allsvenskan,Matchweek 16,Sun,Away,W,1.0,0.0,Sirius,42.0,3928.0,Jesper Gustavsson,3-5-2,Kaspar Sjöberg,Match Report,,Mjallby-Stats
16,2022-08-07,17:30,Allsvenskan,Matchweek 17,Sun,Home,D,1.0,1.0,Elfsborg,43.0,3342.0,Jesper Gustavsson,3-5-2,Kristoffer Karlsson,Match Report,,Mjallby-Stats
17,2022-08-15,19:00,Allsvenskan,Matchweek 18,Mon,Away,L,0.0,1.0,Häcken,43.0,2622.0,Jesper Gustavsson,3-5-2,Granit Maqedonci,Match Report,,Mjallby-Stats
18,2022-08-21,15:00,Allsvenskan,Matchweek 19,Sun,Home,D,1.0,1.0,Malmö,36.0,6000.0,Jesper Gustavsson,3-5-2,Fredrik Klitte,Match Report,,Mjallby-Stats
19,2022-08-28,17:30,Allsvenskan,Matchweek 20,Sun,Away,W,1.0,0.0,Helsingborg,55.0,8234.0,Jesper Gustavsson,3-5-2,Glenn Nyberg,Match Report,,Mjallby-Stats
20,2022-09-05,19:00,Allsvenskan,Matchweek 21,Mon,Home,L,1.0,4.0,Göteborg,61.0,3611.0,Carlos Moros Garcia,3-5-2,Mohammed Al Hakim,Match Report,,Mjallby-Stats
21,2022-09-10,17:30,Allsvenskan,Matchweek 22,Sat,Away,D,0.0,0.0,Degerfors,57.0,2821.0,Jesper Gustavsson,3-5-2,Adam Ladebäck,Match Report,,Mjallby-Stats
22,2022-09-18,15:00,Allsvenskan,Matchweek 23,Sun,Home,D,1.0,1.0,Sundsvall,67.0,263.0,Jesper Gustavsson,3-5-2,Andreas Ekberg,Match Report,,Mjallby-Stats
23,2022-10-03,19:00,Allsvenskan,Matchweek 24,Mon,Away,,,,Värnamo,,,,,,Head-to-Head,,Mjallby-Stats
24,2022-10-10,19:00,Allsvenskan,Matchweek 25,Mon,Away,,,,Norrköping,,,,,,Head-to-Head,,Mjallby-Stats
25,2022-10-16,17:30,Allsvenskan,Matchweek 26,Sun,Home,,,,Hammarby,,,,,,Head-to-Head,,Mjallby-Stats
26,2022-10-20,19:00,Allsvenskan,Matchweek 27,Thu,Away,,,,Kalmar,,,,,,Head-to-Head,,Mjallby-Stats
27,2022-10-24,19:00,Allsvenskan,Matchweek 28,Mon,Home,,,,Varberg,,,,,,Head-to-Head,,Mjallby-Stats
28,2022-10-30,15:00,Allsvenskan,Matchweek 29,Sun,Home,,,,AIK Stockholm,,,,,,Head-to-Head,,Mjallby-Stats
29,2022-11-06,15:00,Allsvenskan,Matchweek 30,Sun,Away,,,,Djurgården,,,,,,Head-to-Head,,Mjallby-Stats
