,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-03,17:30,Allsvenskan,Matchweek 1,Sun,Home,L,0.0,1.0,Varberg,65.0,6871.0,Christoffer Nyman,3-4-3,Mohammed Al Hakim,Match Report,,Norrkoping-Stats
1,2022-04-10,17:30,Allsvenskan,Matchweek 2,Sun,Away,L,0.0,1.0,AIK Stockholm,59.0,27561.0,Christoffer Nyman,3-4-3,Kristoffer Karlsson,Match Report,,Norrkoping-Stats
2,2022-04-16,15:00,Allsvenskan,Matchweek 3,Sat,Away,L,1.0,2.0,Djurgården,47.0,15263.0,Christoffer Nyman,3-4-3,Kaspar Sjöberg,Match Report,,Norrkoping-Stats
3,2022-04-20,19:00,Allsvenskan,Matchweek 4,Wed,Home,D,1.0,1.0,Häcken,57.0,5598.0,Christoffer Nyman,3-4-3,Granit Maqedonci,Match Report,,Norrkoping-Stats
4,2022-04-26,19:00,Allsvenskan,Matchweek 5,Tue,Away,W,2.0,1.0,Kalmar,26.0,3673.0,Christoffer Nyman,3-4-3,Victor Wolf,Match Report,,Norrkoping-Stats
5,2022-05-02,19:00,Allsvenskan,Matchweek 6,Mon,Home,W,2.0,0.0,Värnamo,44.0,5712.0,Christoffer Nyman,3-4-3,Fredrik Klitte,Match Report,,Norrkoping-Stats
6,2022-05-09,19:00,Allsvenskan,Matchweek 7,Mon,Away,W,1.0,0.0,Helsingborg,42.0,6507.0,Christoffer Nyman,3-4-3,Mohammed Al Hakim,Match Report,,Norrkoping-Stats
7,2022-05-15,17:30,Allsvenskan,Matchweek 8,Sun,Home,W,5.0,1.0,Sundsvall,63.0,7095.0,Christoffer Nyman,3-4-1-2,Adam Ladebäck,Match Report,,Norrkoping-Stats
8,2022-05-22,15:00,Allsvenskan,Matchweek 9,Sun,Away,L,0.0,3.0,Hammarby,40.0,26137.0,Christoffer Nyman,3-4-3,Kaspar Sjöberg,Match Report,,Norrkoping-Stats
9,2022-05-29,15:00,Allsvenskan,Matchweek 10,Sun,Home,D,2.0,2.0,Elfsborg,54.0,9377.0,Christoffer Nyman,3-4-3,Fredrik Klitte,Match Report,,Norrkoping-Stats
