,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-03,15:00,Allsvenskan,Matchweek 1,Sun,Home,W,2.0,1.0,Sundsvall,59.0,5187.0,Tim Björkström,3-5-2,Fredrik Klitte,Match Report,,Sirius-Stats
1,2022-04-11,19:00,Allsvenskan,Matchweek 2,Mon,Away,D,0.0,0.0,Värnamo,51.0,2876.0,Tim Björkström,3-5-2,Joakim Östling,Match Report,,Sirius-Stats
2,2022-04-17,17:30,Allsvenskan,Matchweek 3,Sun,Home,W,1.0,0.0,Helsingborg,49.0,4139.0,Tim Björkström,3-5-2,Granit Maqedonci,Match Report,,Sirius-Stats
3,2022-04-20,19:00,Allsvenskan,Matchweek 4,Wed,Away,L,0.0,3.0,Mjällby,53.0,1729.0,Tim Björkström,3-5-2,Glenn Nyberg,Match Report,,Sirius-Stats
4,2022-04-25,19:00,Allsvenskan,Matchweek 5,Mon,Home,L,0.0,3.0,Hammarby,43.0,10038.0,Tim Björkström,3-5-2,Adam Ladebäck,Match Report,,Sirius-Stats
5,2022-04-30,15:00,Allsvenskan,Matchweek 6,Sat,Away,L,0.0,4.0,Djurgården,57.0,15779.0,Tim Björkström,3-5-2,Victor Wolf,Match Report,,Sirius-Stats
6,2022-05-08,17:30,Allsvenskan,Matchweek 7,Sun,Away,W,2.0,0.0,Varberg,58.0,1952.0,Marcus Mathisen,3-5-2,Kaspar Sjöberg,Match Report,,Sirius-Stats
7,2022-05-14,17:30,Allsvenskan,Matchweek 8,Sat,Home,W,2.0,0.0,Elfsborg,48.0,5389.0,Marcus Mathisen,3-4-3,Fredrik Klitte,Match Report,,Sirius-Stats
8,2022-05-21,15:00,Allsvenskan,Matchweek 9,Sat,Away,D,2.0,2.0,AIK Stockholm,47.0,25619.0,Marcus Mathisen,4-5-1,Mohammed Al Hakim,Match Report,,Sirius-Stats
9,2022-05-28,17:00,Allsvenskan,Matchweek 10,Sat,Away,L,3.0,4.0,Häcken,58.0,3225.0,Tim Björkström,3-4-3,Granit Maqedonci,Match Report,,Sirius-Stats
10,2022-06-27,19:00,Allsvenskan,Matchweek 11,Mon,Home,L,1.0,2.0,Göteborg,67.0,6194.0,Tim Björkström,3-4-3,Andreas Ekberg,Match Report,,Sirius-Stats
11,2022-07-03,17:30,Allsvenskan,Matchweek 12,Sun,Away,W,1.0,0.0,Norrköping,55.0,6388.0,Tim Björkström,3-5-2,Kristoffer Karlsson,Match Report,,Sirius-Stats
12,2022-07-10,17:30,Allsvenskan,Matchweek 13,Sun,Away,D,1.0,1.0,Kalmar,39.0,6471.0,Tim Björkström,3-4-3,Joakim Östling,Match Report,,Sirius-Stats
13,2022-07-17,15:00,Allsvenskan,Matchweek 14,Sun,Home,W,2.0,0.0,Degerfors,67.0,4089.0,Tim Björkström,3-5-2,Fredrik Klitte,Match Report,,Sirius-Stats
14,2022-07-23,15:00,Allsvenskan,Matchweek 15,Sat,Away,L,1.0,3.0,Malmö,32.0,16952.0,Marcus Mathisen,3-5-2,Granit Maqedonci,Match Report,,Sirius-Stats
15,2022-07-31,15:00,Allsvenskan,Matchweek 16,Sun,Home,L,0.0,1.0,Mjällby,58.0,3928.0,Tim Björkström,3-5-2,Kaspar Sjöberg,Match Report,,Sirius-Stats
16,2022-08-07,15:00,Allsvenskan,Matchweek 17,Sun,Home,W,2.0,1.0,Malmö,49.0,5132.0,Tim Björkström,3-4-3,Bojan Pandzic,Match Report,,Sirius-Stats
17,2022-08-13,17:30,Allsvenskan,Matchweek 18,Sat,Away,D,0.0,0.0,Helsingborg,60.0,5835.0,Tim Björkström,3-5-2,Victor Wolf,Match Report,,Sirius-Stats
18,2022-08-22,19:00,Allsvenskan,Matchweek 19,Mon,Home,L,0.0,1.0,Häcken,50.0,4622.0,Tim Björkström,3-4-3,Adam Ladebäck,Match Report,,Sirius-Stats
19,2022-08-28,15:00,Allsvenskan,Matchweek 20,Sun,Away,L,0.0,2.0,Göteborg,55.0,12587.0,Marcus Mathisen,3-4-3,Joakim Östling,Match Report,,Sirius-Stats
20,2022-09-04,15:00,Allsvenskan,Matchweek 21,Sun,Home,L,0.0,1.0,Djurgården,48.0,9530.0,Tim Björkström,3-5-2,Kristoffer Karlsson,Match Report,,Sirius-Stats
21,2022-09-10,15:00,Allsvenskan,Matchweek 22,Sat,Home,L,2.0,3.0,Värnamo,66.0,3814.0,Tim Björkström,5-3-2,Glenn Nyberg,Match Report,,Sirius-Stats
22,2022-09-18,15:00,Allsvenskan,Matchweek 23,Sun,Away,L,0.0,3.0,Elfsborg,65.0,5021.0,Marcus Mathisen,3-4-3,Granit Maqedonci,Match Report,,Sirius-Stats
23,2022-10-02,17:30,Allsvenskan,Matchweek 24,Sun,Home,,,,AIK Stockholm,,,,,,Head-to-Head,,Sirius-Stats
24,2022-10-08,15:00,Allsvenskan,Matchweek 25,Sat,Away,,,,Degerfors,,,,,,Head-to-Head,,Sirius-Stats
25,2022-10-15,17:30,Allsvenskan,Matchweek 26,Sat,Home,,,,Norrköping,,,,,,Head-to-Head,,Sirius-Stats
26,2022-10-20,19:00,Allsvenskan,Matchweek 27,Thu,Away,,,,Hammarby,,,,,,Head-to-Head,,Sirius-Stats
27,2022-10-24,19:00,Allsvenskan,Matchweek 28,Mon,Home,,,,Kalmar,,,,,,Head-to-Head,,Sirius-Stats
28,2022-10-30,15:00,Allsvenskan,Matchweek 29,Sun,Away,,,,Sundsvall,,,,,,Head-to-Head,,Sirius-Stats
29,2022-11-06,15:00,Allsvenskan,Matchweek 30,Sun,Home,,,,Varberg,,,,,,Head-to-Head,,Sirius-Stats
