,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-03,15:00,Allsvenskan,Matchweek 1,Sun,Away,L,1.0,2.0,Sirius,41.0,5187.0,Pontus Engblom,4-2-3-1,Fredrik Klitte,Match Report,,Sundsvall-Stats
1,2022-04-09,15:00,Allsvenskan,Matchweek 2,Sat,Home,L,1.0,5.0,Hammarby,46.0,6175.0,Pontus Engblom,3-5-2,Mohammed Al Hakim,Match Report,,Sundsvall-Stats
2,2022-04-16,15:00,Allsvenskan,Matchweek 3,Sat,Away,L,0.0,2.0,Varberg,61.0,1890.0,Pontus Engblom,3-5-2,Victor Wolf,Match Report,,Sundsvall-Stats
3,2022-04-20,19:00,Allsvenskan,Matchweek 4,Wed,Home,W,1.0,0.0,Kalmar,38.0,2050.0,Pontus Engblom,4-4-1-1,Kaspar Sjöberg,Match Report,,Sundsvall-Stats
4,2022-04-25,19:00,Allsvenskan,Matchweek 5,Mon,Away,L,1.0,3.0,Elfsborg,43.0,4190.0,Pontus Engblom,4-2-3-1,Joakim Östling,Match Report,,Sundsvall-Stats
5,2022-05-01,17:30,Allsvenskan,Matchweek 6,Sun,Home,L,0.0,2.0,AIK Stockholm,43.0,5150.0,Pontus Engblom,4-2-3-1,Andreas Ekberg,Match Report,,Sundsvall-Stats
6,2022-05-09,19:00,Allsvenskan,Matchweek 7,Mon,Home,L,2.0,3.0,Degerfors,60.0,2905.0,Pontus Engblom,4-2-3-1,Granit Maqedonci,Match Report,,Sundsvall-Stats
7,2022-05-15,17:30,Allsvenskan,Matchweek 8,Sun,Away,L,1.0,5.0,Norrköping,37.0,7095.0,Pontus Silfwer,4-4-2◆,Adam Ladebäck,Match Report,,Sundsvall-Stats
8,2022-05-23,19:00,Allsvenskan,Matchweek 9,Mon,Home,W,2.0,0.0,Mjällby,45.0,3287.0,Daniel Stensson,4-4-2,Kristoffer Karlsson,Match Report,,Sundsvall-Stats
9,2022-05-28,15:00,Allsvenskan,Matchweek 10,Sat,Away,L,0.0,2.0,Göteborg,30.0,12068.0,Pontus Silfwer,4-3-3,Mohammed Al Hakim,Match Report,,Sundsvall-Stats
10,2022-06-26,17:30,Allsvenskan,Matchweek 11,Sun,Home,L,2.0,5.0,Djurgården,36.0,5352.0,Daniel Stensson,4-2-3-1,Bojan Pandzic,Match Report,,Sundsvall-Stats
11,2022-07-01,19:00,Allsvenskan,Matchweek 12,Fri,Home,W,2.0,1.0,Malmö,23.0,3251.0,Pontus Engblom,4-4-2,Victor Wolf,Match Report,,Sundsvall-Stats
12,2022-07-11,19:00,Allsvenskan,Matchweek 13,Mon,Away,D,1.0,1.0,Värnamo,42.0,2250.0,Pontus Engblom,4-4-2,Kaspar Sjöberg,Match Report,,Sundsvall-Stats
13,2022-07-18,19:00,Allsvenskan,Matchweek 14,Mon,Home,L,1.0,5.0,Häcken,30.0,3573.0,Pontus Engblom,4-4-2◆,Kristoffer Karlsson,Match Report,,Sundsvall-Stats
14,2022-07-24,15:00,Allsvenskan,Matchweek 15,Sun,Away,L,0.0,1.0,Helsingborg,47.0,6718.0,Pontus Engblom,5-3-2,Bojan Pandzic,Match Report,,Sundsvall-Stats
15,2022-07-30,17:30,Allsvenskan,Matchweek 16,Sat,Home,L,1.0,3.0,Varberg,57.0,3353.0,Pontus Engblom,4-3-1-2,Fredrik Klitte,Match Report,,Sundsvall-Stats
16,2022-08-07,15:00,Allsvenskan,Matchweek 17,Sun,Away,L,0.0,3.0,Hammarby,33.0,21526.0,Pontus Engblom,4-4-2,Glenn Nyberg,Match Report,,Sundsvall-Stats
17,2022-08-14,15:00,Allsvenskan,Matchweek 18,Sun,Away,L,1.0,3.0,Malmö,30.0,14205.0,Pontus Engblom,5-3-2,Adam Ladebäck,Match Report,,Sundsvall-Stats
18,2022-08-21,17:30,Allsvenskan,Matchweek 19,Sun,Home,L,1.0,2.0,Helsingborg,49.0,3725.0,Pontus Engblom,3-4-3,Kaspar Sjöberg,Match Report,,Sundsvall-Stats
19,2022-08-27,17:30,Allsvenskan,Matchweek 20,Sat,Away,L,1.0,3.0,Degerfors,52.0,2113.0,Pontus Engblom,3-5-2,Fredrik Klitte,Match Report,,Sundsvall-Stats
20,2022-09-04,17:30,Allsvenskan,Matchweek 21,Sun,Away,L,0.0,4.0,AIK Stockholm,35.0,1910.0,Pontus Engblom,3-5-2,Granit Maqedonci,Match Report,,Sundsvall-Stats
21,2022-09-11,15:00,Allsvenskan,Matchweek 22,Sun,Home,L,0.0,2.0,Elfsborg,40.0,2706.0,Pontus Engblom,3-5-2,Kaspar Sjöberg,Match Report,,Sundsvall-Stats
22,2022-09-18,15:00,Allsvenskan,Matchweek 23,Sun,Away,D,1.0,1.0,Mjällby,33.0,263.0,Pontus Engblom,3-5-2,Andreas Ekberg,Match Report,,Sundsvall-Stats
