,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-03,17:30,Allsvenskan,Matchweek 1,Sun,Away,W,1.0,0.0,Norrköping,35.0,6871.0,Jon Birkfeldt,5-4-1,Mohammed Al Hakim,Match Report,,Varberg-Stats
1,2022-04-10,15:00,Allsvenskan,Matchweek 2,Sun,Home,L,0.0,3.0,Kalmar,41.0,2229.0,Jon Birkfeldt,5-4-1,Granit Maqedonci,Match Report,,Varberg-Stats
2,2022-04-16,15:00,Allsvenskan,Matchweek 3,Sat,Home,W,2.0,0.0,Sundsvall,39.0,1890.0,Joakim Lindner,3-5-2,Victor Wolf,Match Report,,Varberg-Stats
3,2022-04-20,19:00,Allsvenskan,Matchweek 4,Wed,Away,L,0.0,1.0,AIK Stockholm,43.0,15112.0,Jon Birkfeldt,4-1-4-1,Adam Ladebäck,Match Report,,Varberg-Stats
4,2022-04-24,15:00,Allsvenskan,Matchweek 5,Sun,Home,D,0.0,0.0,Mjällby,53.0,1718.0,Joakim Lindner,3-4-3,Kristoffer Karlsson,Match Report,,Varberg-Stats
5,2022-05-01,17:30,Allsvenskan,Matchweek 6,Sun,Away,L,1.0,3.0,Häcken,40.0,2286.0,Jon Birkfeldt,5-4-1,Joakim Östling,Match Report,,Varberg-Stats
6,2022-05-08,17:30,Allsvenskan,Matchweek 7,Sun,Home,L,0.0,2.0,Sirius,42.0,1952.0,Joakim Lindner,3-4-3,Kaspar Sjöberg,Match Report,,Varberg-Stats
7,2022-05-15,17:30,Allsvenskan,Matchweek 8,Sun,Away,D,1.0,1.0,Göteborg,45.0,13306.0,Jon Birkfeldt,3-4-3,Bojan Pandzic,Match Report,,Varberg-Stats
8,2022-05-22,15:00,Allsvenskan,Matchweek 9,Sun,Home,W,2.0,1.0,Degerfors,37.0,1836.0,Joakim Lindner,3-5-2,Andreas Ekberg,Match Report,,Varberg-Stats
9,2022-05-29,15:00,Allsvenskan,Matchweek 10,Sun,Away,L,0.0,4.0,Djurgården,26.0,15648.0,Jon Birkfeldt,3-4-3,Glenn Nyberg,Match Report,,Varberg-Stats
10,2022-06-27,19:00,Allsvenskan,Matchweek 11,Mon,Away,L,1.0,4.0,Elfsborg,36.0,6721.0,Jon Birkfeldt,3-5-2,Mohammed Al Hakim,Match Report,,Varberg-Stats
11,2022-07-03,15:00,Allsvenskan,Matchweek 12,Sun,Home,W,3.0,0.0,Värnamo,37.0,2164.0,Joakim Lindner,3-5-2,Granit Maqedonci,Match Report,,Varberg-Stats
12,2022-07-09,15:00,Allsvenskan,Matchweek 13,Sat,Away,L,0.0,3.0,Malmö,33.0,15427.0,Jon Birkfeldt,4-2-3-1,Kristoffer Karlsson,Match Report,,Varberg-Stats
13,2022-07-18,19:00,Allsvenskan,Matchweek 14,Mon,Home,D,0.0,0.0,Helsingborg,46.0,3386.0,Jon Birkfeldt,3-4-3,Bojan Pandzic,Match Report,,Varberg-Stats
14,2022-07-25,19:00,Allsvenskan,Matchweek 15,Mon,Home,L,0.0,3.0,Hammarby,41.0,4320.0,Joakim Lindner,4-5-1,Mohammed Al Hakim,Match Report,,Varberg-Stats
15,2022-07-30,17:30,Allsvenskan,Matchweek 16,Sat,Away,W,3.0,1.0,Sundsvall,43.0,3353.0,Joakim Lindner,3-5-2,Fredrik Klitte,Match Report,,Varberg-Stats
16,2022-08-08,19:00,Allsvenskan,Matchweek 17,Mon,Home,L,0.0,4.0,Göteborg,38.0,4450.0,Jon Birkfeldt,3-4-3,Adam Ladebäck,Match Report,,Varberg-Stats
