,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Team
0,2022-04-03,15:00,Allsvenskan,Matchweek 1,Sun,Away,L,1.0,2.0,Göteborg,56.0,16794.0,Oscar Johansson,4-3-3,Kristoffer Karlsson,Match Report,,Varnamo-Stats
1,2022-04-11,19:00,Allsvenskan,Matchweek 2,Mon,Home,D,0.0,0.0,Sirius,49.0,2876.0,Oscar Johansson,4-3-3,Joakim Östling,Match Report,,Varnamo-Stats
2,2022-04-17,17:30,Allsvenskan,Matchweek 3,Sun,Away,L,1.0,4.0,Elfsborg,51.0,5465.0,Francis de Vries,4-3-3,Adam Ladebäck,Match Report,,Varnamo-Stats
3,2022-04-21,19:00,Allsvenskan,Matchweek 4,Thu,Home,D,0.0,0.0,Malmö,40.0,4930.0,Oscar Johansson,4-2-3-1,Victor Wolf,Match Report,,Varnamo-Stats
4,2022-04-25,19:00,Allsvenskan,Matchweek 5,Mon,Home,W,2.0,0.0,Degerfors,37.0,2470.0,Freddy Winsth,4-2-3-1,Mohammed Al Hakim,Match Report,,Varnamo-Stats
5,2022-05-02,19:00,Allsvenskan,Matchweek 6,Mon,Away,L,0.0,2.0,Norrköping,56.0,5712.0,Freddy Winsth,4-3-3,Fredrik Klitte,Match Report,,Varnamo-Stats
6,2022-05-09,19:00,Allsvenskan,Matchweek 7,Mon,Home,L,1.0,2.0,Häcken,51.0,2627.0,Oscar Johansson,4-2-3-1,Kristoffer Karlsson,Match Report,,Varnamo-Stats
7,2022-05-14,15:00,Allsvenskan,Matchweek 8,Sat,Away,D,1.0,1.0,Mjällby,46.0,2812.0,Francis de Vries,4-3-3,Kaspar Sjöberg,Match Report,,Varnamo-Stats
8,2022-05-21,17:30,Allsvenskan,Matchweek 9,Sat,Away,W,4.0,1.0,Helsingborg,45.0,5713.0,Freddy Winsth,4-3-3,Granit Maqedonci,Match Report,,Varnamo-Stats
9,2022-05-29,17:30,Allsvenskan,Matchweek 10,Sun,Home,W,1.0,0.0,Hammarby,35.0,5010.0,Freddy Winsth,4-2-3-1,Joakim Östling,Match Report,,Varnamo-Stats
10,2022-06-27,19:00,Allsvenskan,Matchweek 11,Mon,Away,L,0.0,1.0,Kalmar,49.0,6184.0,Freddy Winsth,4-2-3-1,Victor Wolf,Match Report,,Varnamo-Stats
11,2022-07-03,15:00,Allsvenskan,Matchweek 12,Sun,Away,L,0.0,3.0,Varberg,63.0,2164.0,Freddy Winsth,4-2-3-1,Granit Maqedonci,Match Report,,Varnamo-Stats
12,2022-07-11,19:00,Allsvenskan,Matchweek 13,Mon,Home,D,1.0,1.0,Sundsvall,58.0,2250.0,Freddy Winsth,4-2-3-1,Kaspar Sjöberg,Match Report,,Varnamo-Stats
13,2022-07-16,17:30,Allsvenskan,Matchweek 14,Sat,Away,L,0.0,5.0,Djurgården,42.0,16143.0,Freddy Winsth,4-3-3,Glenn Nyberg,Match Report,,Varnamo-Stats
14,2022-07-24,15:00,Allsvenskan,Matchweek 15,Sun,Home,L,2.0,3.0,AIK Stockholm,63.0,5070.0,Freddy Winsth,4-3-3,Joakim Östling,Match Report,,Varnamo-Stats
15,2022-07-31,15:00,Allsvenskan,Matchweek 16,Sun,Away,W,2.0,1.0,Hammarby,35.0,22689.0,Freddy Winsth,5-3-2,Kristoffer Karlsson,Match Report,,Varnamo-Stats
16,2022-08-07,17:30,Allsvenskan,Matchweek 17,Sun,Home,D,0.0,0.0,Djurgården,44.0,4790.0,Freddy Winsth,4-2-3-1,Mohammed Al Hakim,Match Report,,Varnamo-Stats
17,2022-08-14,15:00,Allsvenskan,Matchweek 18,Sun,Away,D,2.0,2.0,AIK Stockholm,40.0,19576.0,Freddy Winsth,4-3-3,Kaspar Sjöberg,Match Report,,Varnamo-Stats
18,2022-08-21,15:00,Allsvenskan,Matchweek 19,Sun,Home,D,1.0,1.0,Elfsborg,44.0,3161.0,Freddy Winsth,4-3-3,Richard Sundell,Match Report,,Varnamo-Stats
19,2022-08-27,15:00,Allsvenskan,Matchweek 20,Sat,Away,L,1.0,4.0,Häcken,46.0,3624.0,Freddy Winsth,4-3-3,Kristoffer Karlsson,Match Report,,Varnamo-Stats
20,2022-09-05,19:00,Allsvenskan,Matchweek 21,Mon,Home,W,3.0,2.0,Helsingborg,51.0,4453.0,Freddy Winsth,4-3-3,Adam Ladebäck,Match Report,,Varnamo-Stats
21,2022-09-10,15:00,Allsvenskan,Matchweek 22,Sat,Away,W,3.0,2.0,Sirius,34.0,3814.0,Freddy Winsth,4-3-3,Glenn Nyberg,Match Report,,Varnamo-Stats
22,2022-09-17,17:30,Allsvenskan,Matchweek 23,Sat,Home,W,1.0,0.0,Varberg,57.0,2135.0,Oscar Johansson,4-3-3,Bojan Pandzic,Match Report,,Varnamo-Stats
23,2022-10-03,19:00,Allsvenskan,Matchweek 24,Mon,Home,,,,Mjällby,,,,,,Head-to-Head,,Varnamo-Stats
